cell,cluster
Eprpp,1
Eprppa,1
Eprppp,1
MSaaaaaa,1
MSaaaaaal,1
MSaaaaaar,1
MSaaaaap,1
MSaaaaapa,1
MSaaaaapaa,1
MSaaaaapap,1
MSaaaaapp,1
MSaaaapa,1
MSaaaapaa,1
MSaaaapap,1
MSaaaapp,1
MSaaaappa,1
MSaaaappp,1
MSaaapaa,1
MSaaapaaa,1
MSaaapaap,1
MSaaapap,1
MSaaapapa,1
MSaaapapp,1
MSaaapp,1
MSaaappa,1
MSaaappp,1
MSaapaaa,1
MSaapaaaa,1
MSaapaaap,1
MSaapaap,1
MSaapaapa,1
MSaapaapaa,1
MSaapaapap,1
MSaapaapp,1
MSaapapa,1
MSaapapaa,1
MSaapapap,1
MSaapapp,1
MSaapappa,1
MSaapappp,1
MSaappa,1
MSaappaa,1
MSaappap,1
MSaappp,1
MSaapppa,1
MSaapppaa,1
MSaapppap,1
MSaapppp,1
MSaappppa,1
MSaappppp,1
MSapaaaa,1
MSapaaaad,1
MSapaaaav,1
MSapaaap,1
MSapaap,1
MSapaapa,1
MSapaapp,1
MSapapaa,1
MSapapap,1
MSapappa,1
MSapappp,1
MSappaa,1
MSappaaa,1
MSappaap,1
MSappap,1
MSappapa,1
MSappapp,1
MSapppa,1
MSapppaa,1
MSapppap,1
MSapppp,1
MSappppa,1
MSappppp,1
MSpaaaaa,1
MSpaaaaaa,1
MSpaaaaap,1
MSpaaaap,1
MSpaaaapa,1
MSpaaaapp,1
MSpaaapa,1
MSpaaapaa,1
MSpaaapap,1
MSpaaapp,1
MSpaaappa,1
MSpaaappp,1
MSpaapaa,1
MSpaapaaa,1
MSpaapaap,1
MSpaapap,1
MSpaapapa,1
MSpaapapp,1
MSpaapp,1
MSpapaaa,1
MSpapaaaa,1
MSpapaaap,1
MSpapaap,1
MSpapaapa,1
MSpapaapaa,1
MSpapaapap,1
MSpapaapp,1
MSpapapa,1
MSpapapaa,1
MSpapapap,1
MSpapapp,1
MSpapappa,1
MSpapappp,1
MSpappa,1
MSpappaa,1
MSpappap,1
MSpappp,1
MSpapppa,1
MSpapppaa,1
MSpapppap,1
MSpapppp,1
MSpappppa,1
MSpappppp,1
MSppaaaa,1
MSppaaaad,1
MSppaaaav,1
MSppaaap,1
MSppaap,1
MSppaapa,1
MSppaapp,1
MSppapaa,1
MSppapap,1
MSppapp,1
MSppappa,1
MSppappp,1
MSpppaa,1
MSpppaaa,1
MSpppaap,1
MSpppap,1
MSpppapa,1
MSpppapp,1
MSppppa,1
MSppppaa,1
MSppppap,1
MSppppp,1
MSpppppa,1
MSpppppp,1
Z2,1
Z3,1
AB,2
P1,2
ABa,3
ABp,3
EMS,3
P2,3
ABal,4
ABar,4
ABpl,4
ABpr,4
E,4
MS,4
ABalaa,6
ABalap,6
ABalpa,6
ABalpp,6
ABaraa,6
ABarap,6
ABarpa,6
ABarpp,6
ABplaa,6
ABplap,6
ABplpa,6
ABplpp,6
ABpraa,6
ABprap,6
ABprpa,6
ABprpp,6
Ca,6
Cp,6
D,6
Ea,6
Ep,6
MSa,6
MSaa,6
MSap,6
MSp,6
MSpa,6
MSpp,6
ABala,7
ABalp,7
ABara,7
ABarp,7
ABpla,7
ABplp,7
ABpra,7
ABprp,7
C,7
P3,7
ABalaaaa,8
ABalaaaal,8
ABalaaaar,8
ABalaaap,8
ABalaaapa,8
ABalaaapp,8
ABalaapa,8
ABalaapaa,8
ABalaapap,8
ABalaapp,8
ABalaappa,8
ABalaappp,8
ABalapaa,8
ABalapaaa,8
ABalapaap,8
ABalapap,8
ABalapapa,8
ABalapapp,8
ABalappa,8
ABalappaa,8
ABalappap,8
ABalappp,8
ABalapppa,8
ABalapppp,8
ABalpaaa,8
ABalpaaaa,8
ABalpaaap,8
ABalpaap,8
ABalpaapa,8
ABalpaapp,8
ABalpapa,8
ABalpapaa,8
ABalpapap,8
ABalpapp,8
ABalpappa,8
ABalpappp,8
ABalppaa,8
ABalppaaa,8
ABalppaap,8
ABalppap,8
ABalppapa,8
ABalppapp,8
ABalpppa,8
ABalpppaa,8
ABalpppap,8
ABalpppp,8
ABalppppa,8
ABalppppp,8
ABaraaaa,8
ABaraaaaa,8
ABaraaaap,8
ABaraaap,8
ABaraaapa,8
ABaraaapp,8
ABaraapa,8
ABaraapaa,8
ABaraapap,8
ABaraapp,8
ABaraappa,8
ABaraappp,8
ABarapaa,8
ABarapaaa,8
ABarapaap,8
ABarapap,8
